name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"23.077302, 76.851043",2022-03-21,37,22,29.6,34,22,28.1,1.1,17.5,0,0,0,,0,0,43.9,20.5,306.5,1008.4,18.8,11.2,278.3,23.9,10,10,2022-03-21T06:25:57,2022-03-21T18:34:04,0.61,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-22,37.6,20.3,29.3,34.9,20.3,28,3.3,21.1,0,0,0,,0,0,28.1,22.3,322.3,1009,1.2,11.2,280.4,24.1,10,10,2022-03-22T06:24:58,2022-03-22T18:34:26,0.64,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-23,37.4,21.2,30.3,34.4,21.2,28.8,4.1,20.7,0,0,0,,0,0,29.5,15.1,35.1,1008.8,29.6,10.9,300.7,25.9,10,10,2022-03-23T06:24:00,2022-03-23T18:34:49,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-24,37,24,31,34.3,24,29.4,5.1,21.8,0,0,0,,0,0,38.2,22.3,288.2,1007.4,62.8,10.9,296.4,25.6,10,10,2022-03-24T06:23:02,2022-03-24T18:35:11,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-25,36.6,24,30.2,33.7,24,28.6,3.5,20.2,0,0,0,,0,0,44.6,16.2,285,1008.5,68.1,10.9,286.5,24.8,10,10,2022-03-25T06:22:03,2022-03-25T18:35:33,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-26,37.3,22.1,30.2,34.3,22.1,28.6,0.9,17.5,0,0,0,,0,0,43.2,19.8,307,1010.6,21.9,10.1,304.3,26.4,10,10,2022-03-26T06:21:05,2022-03-26T18:35:55,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-27,37.5,19.5,29.7,34.4,19.5,28.2,-0.3,18.8,0,0,0,,0,0,16.6,16.2,303.9,1011.4,6.6,10.9,311.7,26.8,10,10,2022-03-27T06:20:07,2022-03-27T18:36:18,0.82,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-28,38.5,20,30.4,35.5,20,28.7,0.9,17.9,0,0,0,,0,0,33.1,22.3,265.4,1010.4,6.7,10.1,310.5,26.7,10,10,2022-03-28T06:19:08,2022-03-28T18:36:40,0.86,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-29,39.4,20.9,30.8,36.4,20.9,29.1,1.3,16.9,0,0,0,,0,0,46.1,25.9,267,1008.7,18.5,10.9,312.2,26.9,10,10,2022-03-29T06:18:10,2022-03-29T18:37:02,0.89,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-30,39,21.1,30.8,36.2,21.1,29.2,2.6,18.4,0,0,0,,0,0,43.2,16.6,252.2,1008.4,10.1,10.1,313,27,10,10,2022-03-30T06:17:12,2022-03-30T18:37:24,0.93,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-31,39,21.5,31.1,35.7,21.5,29.4,-0.2,14.9,0,0,0,,0,0,43.6,14.8,255.1,1008.9,3.3,9.4,313.8,27.1,10,10,2022-03-31T06:16:14,2022-03-31T18:37:46,0.96,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-01,39,22,31.3,36,22,29.6,2.3,17.4,0,0,0,,0,0,39.2,21.2,292.3,1008.7,0,10.9,311.9,27,10,10,2022-04-01T06:15:16,2022-04-01T18:38:08,0,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-02,39,22.5,31.4,35.9,22.5,29.6,2.4,17.6,0,0,0,,0,0,37.1,18.4,289.6,1010.2,3.9,9.7,313,27,10,10,2022-04-02T06:14:19,2022-04-02T18:38:30,0.03,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-03,39.5,22.3,31.8,36.5,22.3,29.9,2.7,17.9,0,0,0,,0,0,35.6,14.4,283.2,1009.9,0.9,11.3,315,27.2,10,10,2022-04-03T06:13:22,2022-04-03T18:38:52,0.06,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-04,39.4,22.3,31.7,36.3,22.3,29.8,-0.3,14.5,0,0,0,,0,0,34.6,20.5,288.3,1009.9,0.5,9.9,319.4,27.5,10,10,2022-04-04T06:12:24,2022-04-04T18:39:14,0.1,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-05,40,23.1,31.9,36.6,23.1,30,0,14.6,0,0,0,,0,0,24.5,13,276.8,1011.7,0.4,10.1,320,27.5,10,10,2022-04-05T06:11:28,2022-04-05T18:39:37,0.13,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-06,40.3,22.3,32.5,36.7,22.3,30.4,-0.4,14.5,0,0,0,,0,0,17.6,15.5,297.3,1011.4,14.6,11.3,317.5,27.4,10,10,2022-04-06T06:10:31,2022-04-06T18:39:59,0.16,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-07,39.9,22,32.7,36.5,22,30.6,0,13.8,0,0,0,,0,0,23,13.7,347.3,1010.9,10.5,10.1,323.4,27.9,10,10,2022-04-07T06:09:35,2022-04-07T18:40:21,0.19,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-08,40.3,23,32.8,36.7,23,30.6,-1.6,12.5,0,0,0,,0,0,11.9,18.4,308.5,1009.1,1.9,9.4,318.8,27.6,10,10,2022-04-08T06:08:39,2022-04-08T18:40:44,0.23,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-09,41,23,33.3,37.5,23,31.3,2.3,16.3,0,0,0,,0,0,19.1,18.4,269,1007.6,2.5,9.3,320.5,27.8,10,10,2022-04-09T06:07:44,2022-04-09T18:41:07,0.25,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-10,41.3,24,33.4,38.2,24,31.3,2.5,15.6,0,0,0,,0,0,34.6,18.4,284.2,1007.3,4.4,10.5,319,27.5,10,10,2022-04-10T06:06:48,2022-04-10T18:41:29,0.29,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-11,40.5,24,33.2,37.7,24,31.2,4.6,17.9,0,0,0,,0,0,47.2,22.3,262.3,1007,11.8,9.7,293.5,25.4,9,10,2022-04-11T06:05:54,2022-04-11T18:41:52,0.32,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-12,39.3,24,32.7,36.7,24,30.8,6,20.1,0,0,0,,0,0,43.2,18.4,272.6,1006.6,31.1,9.4,292,25.2,10,10,2022-04-12T06:05:00,2022-04-12T18:42:15,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-13,39,25,32.4,35.9,25,30.4,3.1,16.9,0,0,0,,0,0,36.7,18.4,280.8,1006.1,27.5,10.7,306.6,26.5,10,10,2022-04-13T06:04:06,2022-04-13T18:42:38,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-14,39,23.8,32.1,36,23.8,30.2,1.9,16.2,0,0,0,rain,0,0,46.1,20.5,263,1005.6,6.4,9.3,313.5,27.1,10,10,2022-04-14T06:03:13,2022-04-14T18:43:02,0.42,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-15,39.3,22,31.9,36.3,22,30,0.7,14.9,0,0,0,,0,0,45.7,20.5,259,1005.7,0,10.1,326.8,28.3,10,10,2022-04-15T06:02:20,2022-04-15T18:43:25,0.45,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-16,39.3,23.5,32.1,36.1,23.5,30.3,3.6,18.5,0,0,0,,0,0,47.9,22.3,254.1,1005.1,12.4,8.5,321.4,27.8,10,10,2022-04-16T06:01:28,2022-04-16T18:43:49,0.48,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-17,39.1,25,32.8,36.5,25,30.9,4.4,17.7,0,0,0,,0,0,50,20.9,257.7,1006,14.6,9.5,323.5,28,10,10,2022-04-17T06:00:36,2022-04-17T18:44:12,0.5,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-18,40,25.8,33.7,36.8,25.8,31.6,4,16.6,0,0,0,,0,0,52.2,27.2,290,1007.8,17,10.9,322.9,27.9,10,10,2022-04-18T05:59:45,2022-04-18T18:44:36,0.55,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-19,40,25,33.1,37.2,25,31.1,4.8,18.1,0,0,0,,0,0,50.4,27.2,292.9,1009.9,22.2,8.6,318.8,27.6,10,10,2022-04-19T05:58:54,2022-04-19T18:45:00,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-20,41.6,24,33.6,38.9,24,31.5,4,17.1,0,0,0,,0,0,45.4,18.4,277.2,1008,41.8,10.1,322.3,28,10,10,2022-04-20T05:58:04,2022-04-20T18:45:25,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-21,37.8,27.5,31,35.2,26.9,29.3,7.4,23.6,0,0,0,,0,0,59.4,35.3,289.4,1008.2,76,10,216.4,18.6,9,10,2022-04-21T05:57:15,2022-04-21T18:45:49,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-22,38,22.6,31.6,35.6,22.6,30.2,8.8,26.3,0,0,0,,0,0,30.2,22.3,277.7,1008.9,46.8,9.2,322.6,27.9,10,10,2022-04-22T05:56:27,2022-04-22T18:46:14,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-23,39.5,26.2,33.2,36.5,26.2,31.1,2.3,15.6,0,0,0,,0,0,39.6,22.3,283.4,1008.6,29.3,11.6,301.6,25.9,10,10,2022-04-23T05:55:39,2022-04-23T18:46:39,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-24,39.5,25.4,32.9,36.5,25.4,30.9,2.1,15.6,0,0,0,,0,0,51.5,22.3,280.3,1008.3,19.2,8.6,328.3,28.3,10,10,2022-04-24T05:54:52,2022-04-24T18:47:04,0.77,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-25,40.5,25,33.5,37.2,25,31.3,1.4,14.4,0,0,0,,0,0,42.5,22.3,263.9,1007.1,2.5,11.1,331.8,28.7,10,10,2022-04-25T05:54:05,2022-04-25T18:47:29,0.8,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-26,41.1,24,33.3,37.8,24,31.1,1,14.2,0,0,0,,0,0,53.3,27.7,270.2,1007.4,0.3,9.4,332,28.6,10,10,2022-04-26T05:53:20,2022-04-26T18:47:55,0.84,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-27,41.6,23.8,33.7,38.2,23.8,31.5,1.8,14.6,0,0,0,,0,0,43.9,18.4,252,1007.3,4.6,9.4,336.1,29.1,10,10,2022-04-27T05:52:35,2022-04-27T18:48:20,0.87,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-28,42.5,24.8,34.8,39,24.8,32.4,2.7,14.6,0,0,0,,0,0,46.4,18.4,226.6,1007.4,11.8,9.4,333.5,28.9,10,10,2022-04-28T05:51:51,2022-04-28T18:48:46,0.91,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-29,42.4,27,35.4,39,26.1,32.8,1.9,13.1,0,0,0,,0,0,56.5,31.9,285.6,1007.1,20.2,10.4,330.5,28.7,10,10,2022-04-29T05:51:08,2022-04-29T18:49:12,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-04-30,40.6,26,34.3,37.6,26,32.1,5.1,17.2,0,0,0,,0,0,52.9,25.9,239.5,1005.1,11.8,9,331.3,28.5,10,10,2022-04-30T05:50:25,2022-04-30T18:49:38,0.98,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-05-01,42,27,34.1,39.4,26.7,32.9,11.3,26.6,0,0,0,,0,0,49,27.7,246.8,1003.4,24.1,8.6,322.9,28,10,10,2022-05-01T05:49:44,2022-05-01T18:50:05,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-05-02,40.8,27.4,34.5,38.5,27.1,33.1,10.3,24.6,0,0,0,,0,0,58.3,29.9,258.3,1003.7,36,9.4,281.1,24.2,10,10,2022-05-02T05:49:03,2022-05-02T18:50:31,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-05-03,40.4,25.8,34.2,39,25.8,32.6,9.3,22.9,0,0,0,,0,0,42.1,22.3,274.1,1005,18.4,11.7,322.5,28,10,10,2022-05-03T05:48:24,2022-05-03T18:50:58,0.08,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-05-04,39.7,26,33.6,37.6,26,31.8,7.6,21.3,0,0,0,,0,0,43.6,29.5,252.2,1007,4.9,10.1,330,28.6,10,10,2022-05-04T05:47:45,2022-05-04T18:51:25,0.11,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-05-05,40,27,33.6,37.2,26.2,31.5,4.6,17.1,0,0,0,,0,0,41.4,24.1,296.8,1006.7,4.8,11.6,335.1,29,10,10,2022-05-05T05:47:07,2022-05-05T18:51:52,0.14,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-05-06,40.5,25.7,33.9,38.1,25.7,32.1,7.9,21.7,0,0,0,,0,0,42.1,22.7,304.5,1006.1,19.7,10.9,323.7,28.1,10,10,2022-05-06T05:46:30,2022-05-06T18:52:19,0.18,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-05-07,40,29,34.3,37.6,27.9,32.5,8,20.9,0,0,0,,0,0,38.2,18.4,336.4,1006.5,28.4,9.4,269.2,23.2,10,10,2022-05-07T05:45:54,2022-05-07T18:52:47,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-05-08,41.3,26.3,34.9,38.3,26.3,32.7,4.9,17.5,0,0,0,,0,0,27.4,22.3,308.4,1004.5,15.7,9.4,332,28.7,10,10,2022-05-08T05:45:19,2022-05-08T18:53:14,0.24,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-05-09,42,26.7,35.8,38.6,26.1,33.3,3.1,14.1,0,0,0,,0,0,40.3,22.3,336,1002.9,20.5,9.4,336.4,29,10,10,2022-05-09T05:44:45,2022-05-09T18:53:42,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-05-10,40.8,30.2,36.1,38.8,28.7,34.4,8.9,20.2,0,0,0,,0,0,44.3,27.7,20.1,1002.6,42,10.9,331.2,28.6,10,10,2022-05-10T05:44:12,2022-05-10T18:54:10,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-05-11,42,28.8,35.6,39.4,28.4,34.3,11,24.2,0,0,0,,0,0,28.8,20.5,66.4,1002.3,28.4,8.7,332.8,28.7,10,10,2022-05-11T05:43:41,2022-05-11T18:54:38,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-05-12,43,28,36.4,40.3,28.2,34.5,7.8,20.2,0,0,0,,0,0,22.3,27.7,283.9,1001.2,20,9.4,333.4,28.8,10,10,2022-05-12T05:43:10,2022-05-12T18:55:06,0.37,Clear,Partly cloudy throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-05-13,43.5,27,36.7,43.5,26.6,34.7,7.1,18.6,0,0,0,,0,0,52.6,27.7,280.4,1000.4,36.9,8.6,334.4,29,10,10,2022-05-13T05:42:40,2022-05-13T18:55:34,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-05-14,43,30,36.8,41.2,29.4,35.3,10.2,21.8,0,0,0,,0,0,53.3,24.8,258.8,1001.1,34,9.4,299.6,25.9,10,10,2022-05-14T05:42:11,2022-05-14T18:56:02,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-05-15,42.5,29,36.1,41.6,28.8,34.8,10.9,23.7,0,0,0,,0,0,43.9,27.7,263.5,1003.1,38.8,9.4,324,27.9,10,10,2022-05-15T05:41:44,2022-05-15T18:56:30,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-05-16,41.3,29,35.3,38,28.3,33.1,5.4,17.6,0,0,0,,0,0,49.3,27.7,254.6,1003.6,3.7,9,337.8,29.1,10,10,2022-05-16T05:41:17,2022-05-16T18:56:58,0.5,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-05-17,41,25.8,34.6,38.5,25.8,32.9,7.2,19.5,0,0,0,,0,0,42.8,20.5,251,1002.7,18.1,10.9,326.5,28.1,10,10,2022-05-17T05:40:52,2022-05-17T18:57:26,0.54,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-05-18,40,26,34,38.3,26,32.3,7.7,20.7,0,0,0,,0,0,42.1,18,265.9,1003.9,18,9.4,335.4,28.8,10,10,2022-05-18T05:40:27,2022-05-18T18:57:54,0.57,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-05-19,41.2,28,35,39.7,26.9,33.2,8.3,21,0,0,0,,0,0,37.8,16.9,223.6,1004,6,10.9,335.8,28.8,10,10,2022-05-19T05:40:04,2022-05-19T18:58:23,0.61,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-05-20,43,29,36.6,41.2,28,35,9.7,20.6,0,0,0,,0,0,48.2,21.2,246,1002.3,15.1,9.4,333.8,28.7,10,10,2022-05-20T05:39:42,2022-05-20T18:58:51,0.64,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
