name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Pakkil, kottayam, kerala",2022-03-12,34.9,24,28.8,44.2,24,31.7,23.7,77,0.4,100,12.5,rain,0,0,19.8,20.5,292.4,1008,30.4,5.2,290.5,25.3,10,30,2022-03-12T06:32:38,2022-03-12T18:34:58,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-13,37,23,28.9,42.5,23,30.8,22.5,72.2,0,0,0,,0,0,23,18.4,205.4,1007.8,24.5,5.1,288.4,25.3,10,10,2022-03-13T06:32:06,2022-03-13T18:34:57,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-14,35.1,22,28.7,43.5,22,30.7,21.8,69.9,0,0,0,,0,0,20.9,16.6,265.7,1008.5,26.2,5.2,290.4,25.2,10,10,2022-03-14T06:31:33,2022-03-14T18:34:57,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-15,34.5,24,28.8,44.1,24,32.6,23.8,75.6,2.6,100,8.33,rain,0,0,17.3,20.5,289,1008.5,49.6,4.9,256.6,22.3,9,30,2022-03-15T06:31:01,2022-03-15T18:34:56,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-16,33.9,25.4,28.8,43.5,25.4,32.6,24.7,79.7,3,100,4.17,rain,0,0,20.2,18.4,284.4,1007.7,54.4,4.6,285,24.7,10,30,2022-03-16T06:30:28,2022-03-16T18:34:55,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-17,33,23.8,28.3,41.3,23.8,31.6,24,78.9,3.6,100,25,rain,0,0,18.7,14.8,280.1,1007.4,52.3,5.8,272.3,23.3,10,30,2022-03-17T06:29:55,2022-03-17T18:34:53,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,remote,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-18,33.7,23,28.3,44.1,23,32.3,24.7,81.8,3,100,4.17,rain,0,0,18.7,22.3,262.5,1007.1,48.6,4.8,284.7,24.4,10,60,2022-03-18T06:29:21,2022-03-18T18:34:52,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-19,34.2,24,27.9,44.3,24,30.9,23.7,78.9,5.6,100,33.33,rain,0,0,18,20.5,234.2,1007.7,49.3,5.2,243.2,21.2,9,30,2022-03-19T06:28:48,2022-03-19T18:34:50,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-20,32.8,23,27,39.6,23,28.9,22.7,78.1,15.5,100,41.67,rain,0,0,15.5,14.8,303.8,1008.1,49.6,5.1,205.4,17.8,8,30,2022-03-20T06:28:14,2022-03-20T18:34:49,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-21,34.1,23,28.3,43.2,23,31.1,23.3,76.1,0.3,100,12.5,rain,0,0,19.1,20.5,267.6,1008,35.5,5,275.8,23.6,10,60,2022-03-21T06:27:41,2022-03-21T18:34:47,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-22,34.9,24,29,43.5,24,32.6,24.1,76.3,0.5,100,8.33,rain,0,0,21.2,18.4,290.6,1007.6,37.1,5.3,270.9,23.5,10,60,2022-03-22T06:27:07,2022-03-22T18:34:45,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-23,33.3,26,28.8,42.6,26,33.4,24.6,78.5,1.6,100,29.17,rain,0,0,17.3,20.5,326.7,1007.1,63.4,5.1,261.1,22.5,9,60,2022-03-23T06:26:33,2022-03-23T18:34:43,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-24,33.3,23,27.4,41.1,23,29.9,23.9,82.6,1,100,4.17,rain,0,0,15.1,25.9,298.2,1007.7,72.8,5.7,237,20.4,10,60,2022-03-24T06:25:59,2022-03-24T18:34:41,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43353099999,VOCI,43355099999,43354099999,remote,43352099999"
"Pakkil, kottayam, kerala",2022-03-25,34.2,24,28.2,44.1,24,31.7,23.9,78.5,1.4,100,20.83,rain,0,0,13.3,18.4,252.6,1008.4,53.1,5,249.2,21.6,9,30,2022-03-25T06:25:25,2022-03-25T18:34:39,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-26,34,25,29.1,43.2,25,33.9,25.2,80.7,1.4,100,29.17,rain,0,0,17.6,20.5,266.8,1009.6,54.6,5.3,186.4,16.1,8,30,2022-03-26T06:24:51,2022-03-26T18:34:36,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-27,34,25,28,43.4,25,31.1,24.7,83.3,33,100,4.17,rain,0,0,19.1,20.5,269.7,1010.3,55,5.9,233.9,20.2,8,60,2022-03-27T06:24:17,2022-03-27T18:34:34,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43353099999,VOCI,43355099999,43354099999,remote,43352099999"
"Pakkil, kottayam, kerala",2022-03-28,34.2,24,27.9,44.9,24,31.1,24.8,84.5,2.7,100,29.17,rain,0,0,18.7,20.5,284.8,1009.9,53.5,4.9,275,23.7,10,60,2022-03-28T06:23:43,2022-03-28T18:34:32,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-29,33.1,24,28.7,43.1,24,33.4,25.1,82.2,3,100,25,rain,0,0,20.2,18.4,247.8,1009,51.8,5.2,266,23.1,9,60,2022-03-29T06:23:09,2022-03-29T18:34:30,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-30,33.5,25,28.4,42.5,25,31.9,25,83.1,2,100,4.17,rain,0,0,17.3,22.3,182.1,1008.9,61.8,4.8,293.5,25.4,10,75,2022-03-30T06:22:35,2022-03-30T18:34:28,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-31,34.7,25,28.7,45.7,25,33,24.9,81,0.8,100,12.5,rain,0,0,16.9,18.4,295.6,1009,51.1,5.2,306,26.6,10,60,2022-03-31T06:22:01,2022-03-31T18:34:26,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-01,34.8,23,28.2,45,23,31.7,24.9,83.6,0.2,100,4.17,rain,0,0,16.6,20.5,294.5,1009.2,67.9,4.9,296.5,25.7,10,60,2022-04-01T06:21:28,2022-04-01T18:34:24,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-02,33.6,24,27.4,43.2,24,30.3,24.7,86.5,11,100,4.17,rain,0,0,13.7,33.5,210.5,1008.7,64.8,4.6,288.9,25,10,60,2022-04-02T06:20:54,2022-04-02T18:34:22,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43353099999,ATVK,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-03,35.1,25,27.9,46,25,31,25,85.2,17,100,4.17,rain,0,0,18.4,22.3,236.9,1009.3,68.1,4.9,257.8,22.1,10,60,2022-04-03T06:20:21,2022-04-03T18:34:20,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-04,34.2,24,28.7,45.5,24,32.9,25,81.9,0.9,100,12.5,rain,0,0,16.9,18.4,281.8,1009.3,47.5,5.4,311.1,26.8,10,60,2022-04-04T06:19:48,2022-04-04T18:34:18,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-05,34.2,24,27.3,43.9,24,29.6,24,83.4,2,100,29.17,rain,0,0,19.1,29.5,205.2,1011.1,59,5.1,300.9,26,10,60,2022-04-05T06:19:15,2022-04-05T18:34:16,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-06,33.8,21,25.9,42.7,21,28.2,23.4,87.2,3.1,100,41.67,rain,0,0,15.5,18.4,99.3,1012,69.4,4.4,276.6,23.9,10,30,2022-04-06T06:18:42,2022-04-06T18:34:15,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-07,34.3,22,27.3,44.1,22,31,24,84,1.1,100,16.67,rain,0,0,15.8,24.1,289,1010.4,48.9,5,308,26.6,10,60,2022-04-07T06:18:10,2022-04-07T18:34:14,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-08,33.7,22.8,26.5,43.2,22.8,28.8,24.5,89.6,42,100,8.33,rain,0,0,25.9,25.9,113.8,1009.8,68.9,4.3,253,21.9,10,60,2022-04-08T06:17:37,2022-04-08T18:34:12,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-09,33.4,23,25.9,43.5,23,27.8,24,89.7,70,100,12.5,rain,0,0,25.2,18.4,290.9,1009.2,73.9,4.1,276.4,23.7,10,60,2022-04-09T06:17:05,2022-04-09T18:34:12,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-10,33.1,22,26.2,42.3,22,28.5,24.3,90,1.2,100,16.67,rain,0,0,18.4,14.8,9.5,1008.6,71.1,4.3,249,21.6,10,60,2022-04-10T06:16:34,2022-04-10T18:34:11,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-11,31,24,26.2,39,24,28.6,24.8,92.4,0.4,100,4.17,rain,0,0,14,22.3,346.1,1007.6,78.4,4.2,250,21.7,9,60,2022-04-11T06:16:03,2022-04-11T18:34:10,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-12,30.8,24,26.7,40.4,24,30,24.7,89,7,100,25,rain,0,0,14.4,37.1,338.4,987.1,84.4,4.8,213.4,18.4,9,60,2022-04-12T06:15:32,2022-04-12T18:34:10,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,ATVK,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-13,29.6,24,26.6,36.4,24,29.1,24.8,90.3,10.4,100,25,rain,0,0,30.6,14.3,155.4,1006.2,89,4.8,161,13.9,6,30,2022-04-13T06:15:01,2022-04-13T18:34:10,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43353099999,VOCI,43355099999,remote,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-14,31.1,25,27.3,39,25,29.9,24.6,86.1,1.2,100,29.17,rain,0,0,18.4,11.2,214.4,1007.3,74.2,5.8,144.6,12.4,7,30,2022-04-14T06:14:31,2022-04-14T18:34:10,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,remote,43352099999"
"Pakkil, kottayam, kerala",2022-04-15,34,24,28.6,41.6,24,32.4,24.6,80.7,10,100,4.17,rain,0,0,14,18.4,246.1,1007.2,40.1,5.6,306.5,26.5,10,60,2022-04-15T06:14:01,2022-04-15T18:34:11,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-16,33.9,26,29.2,43.9,26,33.7,25.1,80,13,100,4.17,rain,0,0,13,14.8,257.4,1006.5,48.6,5.2,262.3,22.6,9,60,2022-04-16T06:13:32,2022-04-16T18:34:11,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-17,34.5,25.4,28.9,45.1,25.4,33.4,25.3,82,29,100,4.17,rain,0,0,13,16.6,234.5,1007.4,52,5.2,277.3,24.2,9,60,2022-04-17T06:13:03,2022-04-17T18:34:12,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-18,35.5,24,28,45.1,24,31.1,24.2,81.2,6.1,100,41.67,rain,0,0,15.1,20.5,278,1009.2,58.5,5.3,288.6,24.7,10,60,2022-04-18T06:12:34,2022-04-18T18:34:14,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-19,32.5,24,28,42.7,24,32.4,25.3,86.1,21,100,8.33,rain,0,0,18.7,20.5,309,1010,81.4,4.9,172.9,14.9,8,60,2022-04-19T06:12:06,2022-04-19T18:34:15,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-20,34.2,25,29.5,44.4,25,35.4,26,82.9,1,100,8.33,rain,0,0,14,13,260.8,1007.6,56,5.1,304.5,26.5,10,60,2022-04-20T06:11:39,2022-04-20T18:34:17,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-21,34.7,24,28.8,46.5,24,34.3,25.7,84.3,2.4,100,25,rain,0,0,16.6,20.5,260.6,1006.5,48.6,4.9,261.9,22.9,9,75,2022-04-21T06:11:12,2022-04-21T18:34:20,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-22,33.2,25,28.2,43.7,25,31.8,24.9,83.8,3,100,4.17,rain,0,0,18.7,18.4,67.4,1007.7,65.6,4.8,258.8,22.3,10,60,2022-04-22T06:10:46,2022-04-22T18:34:22,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-23,34,22,26.8,44.8,22,29.6,24.2,86.5,32,100,8.33,rain,0,0,24.1,11.2,65.6,1009,86,4.9,208.6,17.9,10,60,2022-04-23T06:10:20,2022-04-23T18:34:25,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,remote,43352099999"
"Pakkil, kottayam, kerala",2022-04-24,35.9,23,28.3,46.4,23,32.2,24.2,80,2.3,100,25,rain,0,0,17.3,16.6,276.9,1007.4,60.3,6.1,223.5,19.4,8,75,2022-04-24T06:09:54,2022-04-24T18:34:29,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,remote,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-25,34.9,26,29.3,45.3,26,34.5,25.8,83,2.5,100,29.17,rain,0,0,13,18.4,138.9,1007.1,51.3,5.1,254.7,22,8,75,2022-04-25T06:09:30,2022-04-25T18:34:32,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-26,34.8,26,29.1,46.2,26,33.5,25.4,82.3,0.9,100,16.67,rain,0,0,14.8,13,114.8,1007.3,64,8.3,281.2,24.3,10,75,2022-04-26T06:09:06,2022-04-26T18:34:36,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,remote,43352099999"
"Pakkil, kottayam, kerala",2022-04-27,35.2,25,29.6,48,25,36,26.1,83,0.9,100,12.5,rain,0,0,17.3,14.8,194.3,1006.5,46.3,5.2,300.9,26,10,100,2022-04-27T06:08:42,2022-04-27T18:34:41,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-28,34,25,29,45.4,25,35.1,26.3,86.1,4,100,4.17,rain,0,0,15.8,13,222.3,1008.1,56.2,4.9,304.4,26.4,10,75,2022-04-28T06:08:19,2022-04-28T18:34:46,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-29,34.1,25,29.2,46.8,25,34.8,25.8,82.9,5.8,100,33.33,rain,0,0,19.1,18.4,267.5,1008.4,54.7,5.1,250.9,21.7,9,75,2022-04-29T06:07:57,2022-04-29T18:34:51,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-04-30,33,25,28.7,43.1,25,33.7,25.3,82.8,0.8,100,4.17,rain,0,0,18.7,14.8,335.4,987.5,65,5.1,246.2,21.1,9,75,2022-04-30T06:07:35,2022-04-30T18:34:57,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43353099999,ATVK,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-05-01,33.6,25.7,28.9,44.9,25.7,34.5,26.2,86.4,29,100,8.33,rain,0,0,18.7,18.4,303,987.3,58.8,4.6,273.8,23.7,9,75,2022-05-01T06:07:14,2022-05-01T18:35:02,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,ATVK,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-05-02,35.4,24,28.8,47.3,24,34,25.6,83.9,17,100,4.17,rain,0,0,32.4,18.4,295.3,1006.5,56.9,5.1,254.5,21.9,9,75,2022-05-02T06:06:54,2022-05-02T18:35:09,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-05-03,34,25,29.3,45.9,25,34.7,25.6,81.8,1.6,100,16.67,rain,0,0,24.8,22.3,327.6,1006.5,46.1,5.4,224.3,19.4,8,75,2022-05-03T06:06:34,2022-05-03T18:35:16,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-05-04,33.3,25,29.4,44.5,25,35.9,26.3,84.6,0.5,100,16.67,rain,0,0,33.1,20.5,280.1,1007.5,60.1,5,242.3,20.8,9,60,2022-05-04T06:06:15,2022-05-04T18:35:23,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-05-05,33.1,23,28.4,43.3,23,32.9,25,82.7,2.8,100,20.83,rain,0,0,24.1,25.9,346,1007.2,63.9,6.1,256.6,22.3,9,60,2022-05-05T06:05:57,2022-05-05T18:35:30,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43353099999,VOCI,43355099999,43354099999,remote,43352099999"
"Pakkil, kottayam, kerala",2022-05-06,31.5,25.7,27.7,39.4,25.7,31.4,25.5,88.5,3.9,100,29.17,rain,0,0,22,16.6,318,994.2,63,4.9,251.3,21.8,9,60,2022-05-06T06:05:40,2022-05-06T18:35:38,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43353099999,ATVK,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-05-07,33.9,24,28.4,43.2,24,33.2,25.4,84.9,0.5,100,16.67,rain,0,0,18,20.5,331.4,1006.7,44.5,4.9,235.9,20.4,8,60,2022-05-07T06:05:23,2022-05-07T18:35:47,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-05-08,33.8,24,28.7,44.2,24,34,25.1,81.5,2.2,100,29.17,rain,0,0,24.5,18.4,319.3,1005.1,59.9,5.2,180.8,15.8,7,75,2022-05-08T06:05:07,2022-05-08T18:35:56,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-05-09,31,25,27.3,39,25,31,25.6,90.6,7,100,4.17,rain,0,0,25.6,22.3,278.3,1004.6,89,5,114,9.9,6,60,2022-05-09T06:04:52,2022-05-09T18:36:05,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
